,img_name,base,base color R,base color G,base color B,specular,specular color R,specular color G,specular color B,specular roughness,metalness
4000,4000.bmp,0.9561471185086394,0.4860996116016588,0.2623782099521149,0.7022653965545942,0.05694738284700385,0.08881328330048321,0.8538883232525518,0.12477265564711748,0.405243963990647,0.964654807310145
4001,4001.bmp,0.5876514523191483,0.6952360908518782,0.43322622098615304,0.486428284087818,0.6516867273452853,0.22734011508041185,0.42512085140090394,0.05623283767958476,0.5270523854275542,0.5724312049389163
4002,4002.bmp,0.6754666927316211,0.9986158041179692,0.45937452287908,0.9942395148154352,0.49977679554267984,0.3455988410481098,0.2513639605181264,0.710467389001177,0.6589703454002441,0.45377682857738066
4003,4003.bmp,0.15891962929218761,0.28256459516147847,0.3378175615087966,0.9304653730504777,0.04693277225762149,0.8879616499488566,0.06727619323384415,0.7420971030060565,0.2586511172280742,0.2733074679881423
4004,4004.bmp,0.9098762435362512,0.6612139382942231,0.5756019195262173,0.09107766213269464,0.09669058584208146,0.6283113605320284,0.09734001408738668,0.27366524858358354,0.8857538813467635,0.6611395203089454
4005,4005.bmp,0.6021776268746809,0.932782284937775,0.971099746456164,0.47815615509515486,0.6461720658869361,0.7544339950114761,0.7700162631348373,0.08699074641931803,0.728740681898311,0.8066237449809686
4006,4006.bmp,0.4006567985513966,0.8347694247067146,0.19154323512832128,0.41757003206350507,0.8574772839630334,0.8581207895162756,0.012813589896724653,0.16367221166591261,0.8146453069313095,0.23669495166503518
4007,4007.bmp,0.5863524331648416,0.7158405258698126,0.7933879797603519,0.18477030071913048,0.270889213726063,0.20014361887659948,0.35088634066874114,0.7967276400532616,0.7067600944733814,0.28242706622153957
4008,4008.bmp,0.8413984477956231,0.006438765070565067,0.7290584404732217,0.8011755127927284,0.6693135549461147,0.9091906041256109,0.7453293972530379,0.5017678335706419,0.3375655775520826,0.9736195537621559
4009,4009.bmp,0.6367442208012136,0.7567317015889353,0.6313476012365744,0.9441807091406348,0.22631534290134547,0.5666726985876094,0.7387223757936587,0.962924211297563,0.12725878302455884,0.33923712186217847
4010,4010.bmp,0.900376952400677,0.9225026219277933,0.5498345879553099,0.9813614310492031,0.5737812766319358,0.32583171466195016,0.1736545520879409,0.9394083651928756,0.8721455531750656,0.31735722111200315
4011,4011.bmp,0.2877077862349,0.04281289344738215,0.561955028545345,0.8684175554917113,0.7206144229926488,0.8270533705408998,0.18779386872003923,0.8505793806589808,0.5947911672661162,0.9352835104365681
4012,4012.bmp,0.3879906420484617,0.33127142666256126,0.7085710937543288,0.8077349592663022,0.5126047829905763,0.8098892113732729,0.5361322101373459,0.7342687108214419,0.1181082547981328,0.631814761908771
4013,4013.bmp,0.23491177004285435,0.05949333667495538,0.6263216001963094,0.49792459434946357,0.44177250406697743,0.04326378479035675,0.23924796833992634,0.08751363065197826,0.12638307875607613,0.9607504654892836
4014,4014.bmp,0.26946416459643596,0.003476566992676511,0.20629514035853935,0.042920218233196916,0.6053894928875775,0.7826118111876912,0.49280573311349785,0.6305336909512747,0.5681892206476873,0.7580431291063553
4015,4015.bmp,0.719721744245802,0.49080280896466144,0.06967322024674205,0.00203465100190503,0.6578279311482514,0.5440317579680468,0.029099376014084966,0.292050104424009,0.14829899265222135,0.009736981376204823
4016,4016.bmp,0.9179789304537741,0.20689790791015228,0.7415270253912718,0.1329419977753883,0.8707856279760697,0.26617883524098307,0.014189663495491223,0.26278945220020855,0.550413573089366,0.9873626897009631
4017,4017.bmp,0.6336478009368588,0.3240162078513181,0.9088409725349532,0.2699511458787691,0.4056802809349247,0.0600743545075213,0.47977919997407625,0.050492116001560006,0.004510109410697072,0.2866165131152847
4018,4018.bmp,0.7166205605150425,0.5654353678769134,0.44014733460396305,0.6886129451946996,0.5113496811689698,0.4531707262923673,0.12422522906180433,0.9638891445446162,0.5309505943791394,0.5187505020868909
4019,4019.bmp,0.08924116992533426,0.9693892001863301,0.682383089559747,0.5225243349587022,0.5431186588051895,0.1950386698450548,0.020294702174990298,0.45517032933443036,0.5174741280512342,0.6889680787159457
4020,4020.bmp,0.07266885255371425,0.683211937813908,0.8606395538760543,0.4227289408515088,0.9568268128601259,0.9509513181558946,0.667974998566519,0.14769442944490563,0.19612874345529863,0.49760800150048656
4021,4021.bmp,0.35749789468839155,0.48742711075460776,0.5671779637433985,0.5123991909601265,0.4625557409109823,0.935756774435681,0.8081060541178304,0.7893665828275219,0.10519082417224601,0.17930715576482914
